PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Nyarugenge,3,Rural,6,Ordinary HH,179.50659375,170.7883849440346,01,40,No,,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,No,,No,,No,,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,7,Ordinary HH,179.50659375,170.7883849440346,01,120,No,,,,,,,,,No,,No,,No,,Disagree,Agree,Agree,Agree,Agree,Agree,No Opinion,Strongly Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,8,Ordinary HH,179.50659375,170.7883849440346,02,90,Yes,,,,,,,,,No,,Yes,Always,No,,Agree,Agree,Disagree,No Opinion,No Opinion,Disagree,Strongly Disagree,No Opinion,No,No,Roughly rectangular,,,4,3,,Flat,5,1,Yes,Easy to use,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,9,Ordinary HH,1566.603,1370.326394831265,01,60,No,,,,,,,,,No,,No,,No,,No Opinion,Don't know,No Opinion,Don't know,No Opinion,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Other,Financial capacity,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,10,Ordinary HH,1566.603,1370.326394831265,02,60,Yes,,,,,,,,,No,,Yes,Always,No,,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Don't know,Yes,No,Roughly square,,3,,,,Flat,2,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,11,Ordinary HH,1566.603,1370.326394831265,02,480,Yes,,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Manufactured biomass stove,No,,No,,No,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,12,Ordinary HH,1566.603,1370.326394831265,02,240,Yes,,,,,,,,,No,,No,,No,,No Opinion,Agree,No Opinion,Disagree,Disagree,No Opinion,No Opinion,Strongly Disagree,Yes,No,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,13,Ordinary HH,1566.603,1370.326394831265,02,440,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Disagree,Strongly Disagree,No Opinion,No Opinion,No Opinion,Yes,Yes,Roughly square,,3,,,,Flat,3,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,14,Ordinary HH,179.50659375,170.7883849440346,01,60,Yes,,,,,,,,,No,,Yes,Always,No,,Don't know,Agree,Don't know,Disagree,Agree,Don't know,Agree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,15,Ordinary HH,179.50659375,170.7883849440346,02,60,No,,,,,,,,,No,,No,,No,,Don't know,Agree,Don't know,Agree,Agree,Don't know,Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,16,Ordinary HH,1566.603,1370.326394831265,02,120,No,,,,,,,,,No,,Yes,Always,No,,Strongly Disagree,Don't know,Don't know,Strongly Agree,Agree,Disagree,Agree,Don't know,Yes,No,Roughly rectangular,,,2,2,,Flat,2,0,No,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,17,Ordinary HH,1566.603,1370.326394831265,02,60,No,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Don't know,Agree,Agree,Strongly Disagree,Don't know,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,18,Ordinary HH,1566.603,1370.326394831265,02,150,Yes,,,,,,,,,No,,Yes,Always,No,,Don't know,Agree,Don't know,Agree,Agree,Don't know,Don't know,Don't know,Yes,No,Roughly square,,2,,,,Flat,5,0,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,1,Ordinary HH,262.5804,252.1639912786828,01,30,No,No,,,,,,,,No,,No,,No,,No Opinion,Strongly Agree,No Opinion,Don't know,Agree,Disagree,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,2,Ordinary HH,262.5804,252.1639912786828,03,180,Yes,No,,,,,,,,No,,Yes,Never,No,,Agree,Agree,No Opinion,Disagree,Agree,Agree,Strongly Disagree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,3,Ordinary HH,262.5804,252.1639912786828,02,180,Yes,Yes,,,,,,,,No,,No,,No,,Agree,Agree,Strongly Disagree,Don't know,Agree,Don't know,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,4,Ordinary HH,262.5804,252.1639912786828,03,120,Yes,No,,,,,,,,No,,No,,No,,Don't know,Don't know,Don't know,Strongly Agree,Agree,No Opinion,Agree,Strongly Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,5,Ordinary HH,262.5804,252.1639912786828,03,240,Yes,Yes,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,LPG stove,LPG stove,No,,No,,No,,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Yes,Yes,Roughly square,,2,,,,Flat,3,2,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,6,Ordinary HH,262.5804,252.1639912786828,02,240,Yes,Yes,,,,,,,,No,,No,,No,,No Opinion,Strongly Disagree,Strongly Disagree,Disagree,Disagree,No Opinion,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,7,Ordinary HH,262.5804,252.1639912786828,02,90,Yes,No,,,,,,,,No,,No,,No,,Don't know,Strongly Agree,No Opinion,Don't know,Disagree,No Opinion,Strongly Disagree,Don't know,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,8,Ordinary HH,262.5804,252.1639912786828,01,30,No,No,,,,,,,,No,,No,,No,,Don't know,Strongly Agree,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,9,Ordinary HH,262.5804,252.1639912786828,02,145,Yes,Yes,,,,,,,,Yes,Never,Yes,Never,No,,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Yes,Yes,Roughly square,,2,,,,Flat,2,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,10,Ordinary HH,262.5804,252.1639912786828,02,30,Yes,No,,,,,,,,No,,No,,No,,Don't know,Strongly Agree,Don't know,Agree,Don't know,No Opinion,Disagree,Don't know,Yes,Yes,Roughly square,,3,,,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,11,Ordinary HH,262.5804,252.1639912786828,06,240,Yes,Yes,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,LPG stove,No,,No,,No,,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Yes,Yes,Roughly rectangular,,,5,4,,Flat,4,2,No,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,12,Ordinary HH,262.5804,252.1639912786828,05,120,Yes,No,,,,,,,,Yes,Less than half the time,Yes,Never,No,,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,13,Ordinary HH,262.5804,252.1639912786828,01,180,Yes,Yes,,,,,,,,No,,No,,No,,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Don't know,Yes,Yes,Roughly square,,2,,,,Flat,3,2,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,15,Ordinary HH,262.5804,252.1639912786828,02,120,Yes,Yes,,,,,,,,Yes,Less than half the time,Yes,Less than half the time,No,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,17,Ordinary HH,262.5804,252.1639912786828,01,60,Yes,No,,,,,,,,Yes,Never,Yes,Never,No,,Strongly Agree,Strongly Agree,Agree,No Opinion,Agree,Agree,Strongly Disagree,Agree,Yes,Yes,Roughly square,,3,,,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,19,Ordinary HH,262.5804,252.1639912786828,02,300,Yes,Yes,,,,,,,,No,,No,,No,,Agree,Disagree,Disagree,Disagree,No Opinion,No Opinion,Disagree,Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
