Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
55,18,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,third,Yes,No one,,,No problems,No other problem,,Solar lantern,No,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,1,01,Paid,2100,Yes,No,4,,Reseller
55,18,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,First,Yes,Telephone,,,No problems,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,01,Paid,2100,Yes,No,3,,Reseller
55,18,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,fourth,,,,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,3,01,Paid,2100,Yes,No,3,,Reseller
56,10,169.8456,160.48833935057,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,5,01,Paid,27000,No,Yes,2,,Owner
56,16,169.8456,160.48833935057,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Battery problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,3,0102,Paid,75000,No,Yes,2,Yes,Reseller
57,2,92.04521229166666,96.88762006009043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,6,Yes,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,25000,No,No,12,,Owner
57,3,92.04521229166666,96.88762006009043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Quality of light,Breaks down too often,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,16000,Yes,Yes,3,No,Reseller
57,7,92.04521229166666,96.88762006009043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,1,01,Paid,30000,No,No,1,,Reseller
57,8,92.04521229166666,96.88762006009043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Cannot power large appliances,Duration of service too short,,Solar home system,Yes,Component-based/Local,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,20,Yes,1,0102,Paid,95000,Yes,Yes,4,,Other technician
57,11,33.72649,36.90484868320604,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,4,01,Paid,300000,Yes,Yes,12,,Reseller
