PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,I01,I17A,I18A,I19A,I17B,I18B,I19B,I17C,I18C,I19C,I17D,I18D,I19D,J01,J02,J03,J03_OTHER,J04,J05,J06,J06_OTHER
Kigali City,Nyarugenge,8,Urban,15,Ordinary HH,709.7714999999999,691.7022258992835,01,30,Monthly,0,,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,16,Ordinary HH,709.7714999999999,691.7022258992835,01,60,Daily,15,,,,,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,17,Ordinary HH,709.7714999999999,691.7022258992835,01,10,Weekly,10,,,0,5,Weekly,0,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,18,Ordinary HH,57.73261004784688,57.03740620952001,02,45,Daily,0,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,2,Ordinary HH,450.0009,566.6928729667239,02,10,Daily,45,0,,,10,Monthly,5,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,4,Ordinary HH,450.0009,566.6928729667239,01,,,,,,,15,Weekly,0,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,5,Ordinary HH,450.0009,566.6928729667239,01,,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,6,Ordinary HH,450.0009,566.6928729667239,02,45,Daily,30,0,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,7,Ordinary HH,450.0009,566.6928729667239,01,30,Monthly,5,,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,8,Ordinary HH,450.0009,566.6928729667239,02,10,Monthly,0,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,9,Ordinary HH,450.0009,566.6928729667239,02,30,Monthly,5,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,10,Ordinary HH,450.0009,566.6928729667239,02,60,Monthly,0,,,,0,,,30,Monthly,0,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,11,Ordinary HH,450.0009,566.6928729667239,02,10,Daily,0,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,12,Ordinary HH,450.0009,566.6928729667239,02,30,Daily,0,25,Daily,0,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,13,Ordinary HH,450.0009,566.6928729667239,02,0,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,14,Ordinary HH,450.0009,566.6928729667239,02,120,Daily,120,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,15,Ordinary HH,450.0009,566.6928729667239,01,,,,,,,5,Monthly,60,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,16,Ordinary HH,450.0009,566.6928729667239,01,10,Daily,30,0,,,60,Daily,60,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,17,Ordinary HH,450.0009,566.6928729667239,01,15,Weekly,0,0,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,18,Ordinary HH,450.0009,566.6928729667239,02,45,Daily,5,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,9,Urban,19,Ordinary HH,29.11057035040432,28.42542941488191,02,60,Daily,30,,,,0,,,,,,No,,, ,No,,, 
