PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,F11,F12,F13,F14,F15,F16
Kigali City,Nyarugenge,8,Urban,14,Ordinary HH,709.7714999999999,691.7022258992835,Kerosene,No,,,,
Kigali City,Nyarugenge,8,Urban,15,Ordinary HH,709.7714999999999,691.7022258992835,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,8,Urban,16,Ordinary HH,709.7714999999999,691.7022258992835,Biogas,No,,,,
Kigali City,Nyarugenge,8,Urban,17,Ordinary HH,709.7714999999999,691.7022258992835,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,18,Ordinary HH,57.73261004784688,57.03740620952001,Diesel,No,,,,
Kigali City,Nyarugenge,9,Urban,2,Ordinary HH,450.0009,566.6928729667239,Biogas,No,,,,
Kigali City,Nyarugenge,9,Urban,4,Ordinary HH,450.0009,566.6928729667239,Paraffin,No,,,,
Kigali City,Nyarugenge,9,Urban,5,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,6,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,7,Ordinary HH,450.0009,566.6928729667239,Gasoline,No,,,,
Kigali City,Nyarugenge,9,Urban,8,Ordinary HH,450.0009,566.6928729667239,Diesel,No,,,,
Kigali City,Nyarugenge,9,Urban,9,Ordinary HH,450.0009,566.6928729667239,Kerosene,No,,,,
Kigali City,Nyarugenge,9,Urban,10,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,11,Ordinary HH,450.0009,566.6928729667239,Candle,Yes,8,8,100,
Kigali City,Nyarugenge,9,Urban,12,Ordinary HH,450.0009,566.6928729667239,Kerosene,No,,,,
Kigali City,Nyarugenge,9,Urban,13,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,14,Ordinary HH,450.0009,566.6928729667239,Kerosene,No,,,,
Kigali City,Nyarugenge,9,Urban,15,Ordinary HH,450.0009,566.6928729667239,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,9,Urban,16,Ordinary HH,450.0009,566.6928729667239,Biogas,No,,,,
Kigali City,Nyarugenge,9,Urban,17,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,18,Ordinary HH,450.0009,566.6928729667239,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,19,Ordinary HH,29.11057035040432,28.42542941488191,Candle,No,,,,
Kigali City,Nyarugenge,9,Urban,20,Ordinary HH,29.11057035040432,28.42542941488191,Biogas,No,,,,
Kigali City,Nyarugenge,10,Urban,2,Ordinary HH,581.4858,706.5684298787947,Biogas,No,,,,
Kigali City,Nyarugenge,10,Urban,3,Ordinary HH,581.4858,706.5684298787947,Gasoline,No,,,,
Kigali City,Nyarugenge,10,Urban,4,Ordinary HH,581.4858,706.5684298787947,Paraffin,No,,,,
Kigali City,Nyarugenge,10,Urban,5,Ordinary HH,45.34522293577982,46.27204586894844,Paraffin,No,,,,
Kigali City,Nyarugenge,10,Urban,6,Ordinary HH,581.4858,706.5684298787947,Paraffin,No,,,,
Kigali City,Nyarugenge,10,Urban,7,Ordinary HH,581.4858,706.5684298787947,Gasoline,No,,,,
Kigali City,Nyarugenge,10,Urban,8,Ordinary HH,581.4858,706.5684298787947,Biogas,No,,,,
Kigali City,Nyarugenge,10,Urban,9,Ordinary HH,581.4858,706.5684298787947,Gasoline,No,,,,
Kigali City,Nyarugenge,10,Urban,10,Ordinary HH,581.4858,706.5684298787947,Diesel,No,,,,
Kigali City,Nyarugenge,10,Urban,11,Ordinary HH,581.4858,706.5684298787947,Gasoline,No,,,,
Kigali City,Nyarugenge,10,Urban,12,Ordinary HH,581.4858,706.5684298787947,Gasoline,No,,,,
Kigali City,Nyarugenge,10,Urban,13,Ordinary HH,581.4858,706.5684298787947,Biogas,No,,,,
Kigali City,Nyarugenge,10,Urban,14,Ordinary HH,581.4858,706.5684298787947,Paraffin,No,,,,
Kigali City,Nyarugenge,10,Urban,15,Ordinary HH,581.4858,706.5684298787947,Paraffin,No,,,,
Kigali City,Nyarugenge,10,Urban,16,Ordinary HH,581.4858,706.5684298787947,Biogas,No,,,,
Kigali City,Nyarugenge,10,Urban,17,Ordinary HH,581.4858,706.5684298787947,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,10,Urban,18,Ordinary HH,581.4858,706.5684298787947,Kerosene,No,,,,
Kigali City,Nyarugenge,10,Urban,19,Ordinary HH,581.4858,706.5684298787947,Paraffin,No,,,,
Kigali City,Nyarugenge,11,Urban,1,Ordinary HH,486.8111999999999,452.833735084069,Gasoline,No,,,,
Kigali City,Nyarugenge,11,Urban,2,Ordinary HH,486.8111999999999,452.833735084069,Paraffin,No,,,,
Kigali City,Nyarugenge,11,Urban,3,Ordinary HH,486.8111999999999,452.833735084069,Biogas,No,,,,
Kigali City,Nyarugenge,11,Urban,4,Ordinary HH,486.8111999999999,452.833735084069,Biogas,No,,,,
Kigali City,Nyarugenge,11,Urban,5,Ordinary HH,486.8111999999999,452.833735084069,Gasoline,No,,,,
Kigali City,Nyarugenge,11,Urban,6,Ordinary HH,486.8111999999999,452.833735084069,Gasoline,No,,,,
Kigali City,Nyarugenge,11,Urban,7,Ordinary HH,486.8111999999999,452.833735084069,Paraffin,No,,,,
Kigali City,Nyarugenge,11,Urban,8,Ordinary HH,486.8111999999999,452.833735084069,Diesel,No,,,,
Kigali City,Nyarugenge,11,Urban,9,Ordinary HH,486.8111999999999,452.833735084069,Paraffin,No,,,,
Kigali City,Nyarugenge,11,Urban,10,Ordinary HH,486.8111999999999,452.833735084069,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,11,Urban,11,Ordinary HH,486.8111999999999,452.833735084069,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,11,Urban,12,Ordinary HH,486.8111999999999,452.833735084069,Gasoline,No,,,,
Kigali City,Nyarugenge,11,Urban,13,Ordinary HH,486.8111999999999,452.833735084069,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,11,Urban,14,Ordinary HH,486.8111999999999,452.833735084069,Biogas,No,,,,
Kigali City,Nyarugenge,11,Urban,15,Ordinary HH,486.8111999999999,452.833735084069,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,11,Urban,16,Ordinary HH,486.8111999999999,452.833735084069,Candle,No,,,,
Kigali City,Nyarugenge,11,Urban,17,Ordinary HH,486.8111999999999,452.833735084069,Biogas,No,,,,
Kigali City,Nyarugenge,11,Urban,18,Ordinary HH,486.8111999999999,452.833735084069,Biogas,No,,,,
Kigali City,Gasabo,12,Rural,1,Ordinary HH,699.2959000000001,713.2734757280056,Diesel,No,,,,
Kigali City,Gasabo,12,Rural,2,Ordinary HH,73.16421861233481,78.23429284063168,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,3,Ordinary HH,699.2959000000001,713.2734757280056,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,4,Ordinary HH,73.16421861233481,78.23429284063168,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,5,Ordinary HH,73.16421861233481,78.23429284063168,Candle,No,,,,
Kigali City,Gasabo,12,Rural,6,Ordinary HH,73.16421861233481,78.23429284063168,Gasoline,No,,,,
Kigali City,Gasabo,12,Rural,7,Ordinary HH,73.16421861233481,78.23429284063168,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,8,Ordinary HH,73.16421861233481,78.23429284063168,Gasoline,No,,,,
Kigali City,Gasabo,12,Rural,9,Ordinary HH,73.16421861233481,78.23429284063168,Diesel,No,,,,
Kigali City,Gasabo,12,Rural,10,Ordinary HH,699.2959000000001,713.2734757280056,Biogas,No,,,,
Kigali City,Gasabo,12,Rural,11,Ordinary HH,699.2959000000001,713.2734757280056,Kerosene,No,,,,
Kigali City,Gasabo,12,Rural,12,Ordinary HH,699.2959000000001,713.2734757280056,Gasoline,No,,,,
Kigali City,Gasabo,12,Rural,13,Ordinary HH,699.2959000000001,713.2734757280056,Diesel,No,,,,
Kigali City,Gasabo,12,Rural,14,Ordinary HH,73.16421861233481,78.23429284063168,Candle,No,,,,
Kigali City,Gasabo,12,Rural,15,Ordinary HH,699.2959000000001,713.2734757280056,Gasoline,No,,,,
Kigali City,Gasabo,12,Rural,16,Ordinary HH,699.2959000000001,713.2734757280056,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,17,Ordinary HH,699.2959000000001,713.2734757280056,Paraffin,No,,,,
Kigali City,Gasabo,12,Rural,18,Ordinary HH,699.2959000000001,713.2734757280056,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,1,Ordinary HH,736.1804,790.5446794848733,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,2,Ordinary HH,736.1804,790.5446794848733,Gasoline,No,,,,
Kigali City,Gasabo,13,Rural,3,Ordinary HH,736.1804,790.5446794848733,Gasoline,No,,,,
Kigali City,Gasabo,13,Rural,4,Ordinary HH,736.1804,790.5446794848733,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,5,Ordinary HH,736.1804,790.5446794848733,Diesel,No,,,,
